item_no,item_name,barcode_id,barcode_path
235,Bearing SVT 70L (SKF),ITM235,barcode\235\ITM235.png
236,Oil Seal 417171 (NATIONAL),ITM236,barcode\236\ITM236.png
237,Oil Seal 417159 (NATIONAL),ITM237,barcode\237\ITM237.png
238,Oil Seal 473215 (NATIONAL),ITM238,barcode\238\ITM238.png
239,Oil Seal 417269 (NATIONAL),ITM239,barcode\239\ITM239.png
240,Oil Seal 455018 (NATIONAL),ITM240,barcode\240\ITM240.png
241,Oil Seal 415160 (NATIONAL),ITM241,barcode\241\ITM241.png
242,Oil Seal 42528 (NATIONAL),ITM242,barcode\242\ITM242.png
243,Oil Seal 2374 (NATIONAL),ITM243,barcode\243\ITM243.png
244,Oil Seal 6250 (NATIONAL),ITM244,barcode\244\ITM244.png
245,Bearing UCF 214-44 (ASAHI),ITM245,barcode\245\ITM245.png
